model,data_type,split,n_features,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,training_time,trained_model
Naive Bayes,Original,80:20,47,0.41496598639455784,0.3401360544217687,0.43450767131429785,0.34831227729186914,0.41496598639455784,0.3401360544217687,0.41405863615079275,0.3367997918559428,0.00982522964477539,GaussianNB()
Logistic Regression,Original,80:20,47,0.43962585034013607,0.3877551020408163,0.43309381735668784,0.38112929929695777,0.43962585034013607,0.3877551020408163,0.42444816668398183,0.37930850191386584,0.02331995964050293,"LogisticRegression(max_iter=1000, random_state=42)"
Logistic L2 (C=0.1),Original,80:20,47,0.4421768707482993,0.391156462585034,0.4362218694546984,0.38505389370360016,0.4421768707482993,0.391156462585034,0.4249945191470802,0.3831909253469289,0.014329195022583008,"LogisticRegression(C=0.1, max_iter=1000, random_state=42)"
Decision Tree,Original,80:20,47,0.6641156462585034,0.3231292517006803,0.6698423057367613,0.322741768563871,0.6641156462585034,0.3231292517006803,0.662263582709998,0.3221559412547857,0.021997690200805664,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Decision Tree (deep),Original,80:20,47,0.9965986394557823,0.35034013605442177,0.9966105931287669,0.3535835178024764,0.9965986394557823,0.35034013605442177,0.9966012562959301,0.35166398415991446,0.03434109687805176,"DecisionTreeClassifier(max_depth=20, random_state=42)"
Random Forest,Original,80:20,47,0.9889455782312925,0.38095238095238093,0.989205458280011,0.3559730964354984,0.9889455782312925,0.38095238095238093,0.9889364320983692,0.3351562703387806,0.21303820610046387,"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)"
SVM (linear),Original,80:20,47,0.445578231292517,0.3469387755102041,0.4395219661144644,0.336269149396626,0.445578231292517,0.3469387755102041,0.42626420085807043,0.3341215974056356,0.9076411724090576,"SVC(kernel='linear', probability=True, random_state=42)"
SVM (rbf),Original,80:20,47,0.6947278911564626,0.40816326530612246,0.7377422722079752,0.3932851137820082,0.6947278911564626,0.40816326530612246,0.6850843777140883,0.37639296083171464,0.5139050483703613,"SVC(probability=True, random_state=42)"
KNN (k=5),Original,80:20,47,0.5408163265306123,0.36394557823129253,0.545616229417518,0.36318706013840507,0.5408163265306123,0.36394557823129253,0.5312893994542728,0.35196271101033005,0.04085803031921387,KNeighborsClassifier()
MLP,Original,80:20,47,0.4107142857142857,0.3231292517006803,0.40987693758655414,0.31121841444422094,0.4107142857142857,0.3231292517006803,0.38053517953671334,0.293350938081874,0.1255629062652588,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(100, 50), max_iter=500,
              random_state=42)"
Naive Bayes,Original,70:30,47,0.4489795918367347,0.3333333333333333,0.4541496638087995,0.34196401127738885,0.4489795918367347,0.3333333333333333,0.4499635251247917,0.33571705736630497,0.005997419357299805,GaussianNB()
Logistic Regression,Original,70:30,47,0.45286686103012636,0.35374149659863946,0.44918186733397947,0.3467604423044857,0.45286686103012636,0.35374149659863946,0.44148574880203606,0.3464062656445534,0.018140792846679688,"LogisticRegression(max_iter=1000, random_state=42)"
Logistic L2 (C=0.1),Original,70:30,47,0.44703595724003886,0.35600907029478457,0.4426800955330386,0.3465460616481025,0.44703595724003886,0.35600907029478457,0.43410699884185916,0.3456403199856468,0.016063690185546875,"LogisticRegression(C=0.1, max_iter=1000, random_state=42)"
Decision Tree,Original,70:30,47,0.7687074829931972,0.36961451247165533,0.7871587391800425,0.3561589814927897,0.7687074829931972,0.36961451247165533,0.7670293888411482,0.3587119197364827,0.026301145553588867,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Decision Tree (deep),Original,70:30,47,0.9970845481049563,0.3197278911564626,0.9970941350915852,0.3239014198860824,0.9970845481049563,0.3197278911564626,0.9970849475638159,0.32117064037956106,0.021553516387939453,"DecisionTreeClassifier(max_depth=20, random_state=42)"
Random Forest,Original,70:30,47,0.9970845481049563,0.3900226757369615,0.9970972843440837,0.36184422412842526,0.9970845481049563,0.3900226757369615,0.9970806516187536,0.3576157215023859,0.22582173347473145,"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)"
SVM (linear),Original,70:30,47,0.4557823129251701,0.3424036281179138,0.4537382949594002,0.3307090509889237,0.4557823129251701,0.3424036281179138,0.44033160840044816,0.3309581547255959,0.7302148342132568,"SVC(kernel='linear', probability=True, random_state=42)"
SVM (rbf),Original,70:30,47,0.7278911564625851,0.35600907029478457,0.7673356730998614,0.33666108185751203,0.7278911564625851,0.35600907029478457,0.7215137189937246,0.3291657299984192,0.40610527992248535,"SVC(probability=True, random_state=42)"
KNN (k=5),Original,70:30,47,0.5529640427599611,0.35827664399092973,0.5570984723373459,0.3579676768517741,0.5529640427599611,0.35827664399092973,0.5432125885558112,0.3481895318323249,0.033339500427246094,KNeighborsClassifier()
MLP,Original,70:30,47,0.3683187560738581,0.3356009070294785,0.35684774539978453,0.32496121325032234,0.3683187560738581,0.3356009070294785,0.3542198495213686,0.3229240755829621,0.10921597480773926,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(100, 50), max_iter=500,
              random_state=42)"
Naive Bayes,Original,60:40,47,0.4399092970521542,0.32482993197278914,0.44017950813830237,0.3221945464796863,0.4399092970521542,0.32482993197278914,0.43847487378637817,0.32301331708410186,0.006102323532104492,GaussianNB()
Logistic Regression,Original,60:40,47,0.4580498866213152,0.34523809523809523,0.45204474881030615,0.3390508495358391,0.4580498866213152,0.34523809523809523,0.4450054958290799,0.33863836689676546,0.015083074569702148,"LogisticRegression(max_iter=1000, random_state=42)"
Logistic L2 (C=0.1),Original,60:40,47,0.46258503401360546,0.34523809523809523,0.4567066998584694,0.33809189201384504,0.46258503401360546,0.34523809523809523,0.44931800069553113,0.33705864025063464,0.01207876205444336,"LogisticRegression(C=0.1, max_iter=1000, random_state=42)"
Decision Tree,Original,60:40,47,0.7414965986394558,0.3486394557823129,0.7414531469153318,0.3449701717120083,0.7414965986394558,0.3486394557823129,0.7403241341129541,0.3463389898083776,0.02025771141052246,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Decision Tree (deep),Original,60:40,47,0.9897959183673469,0.3299319727891156,0.9898870697758515,0.32816632642874455,0.9897959183673469,0.3299319727891156,0.9898004930691733,0.32842611392469645,0.026493310928344727,"DecisionTreeClassifier(max_depth=20, random_state=42)"
