Feature,Importance
DailyRate,0.08746958803252834
MonthlyRate,0.08200616333688578
EmployeeNumber,0.08015302381068001
HourlyRate,0.07091073634577048
MonthlyIncome,0.060718099163176366
DistanceFromHome,0.05464912372813565
Age,0.054541010845400986
PercentSalaryHike,0.0453435734666251
TotalWorkingYears,0.0374631686766859
NumCompaniesWorked,0.03204463389356009
YearsAtCompany,0.03186432165639473
YearsSinceLastPromotion,0.029297673902427507
TrainingTimesLastYear,0.02778849065618226
YearsWithCurrManager,0.02735692901057673
YearsInCurrentRole,0.026758819421867818
Education,0.024020585304441084
EnvironmentSatisfaction,0.0213172835792089
RelationshipSatisfaction,0.01949053733374111
WorkLifeBalance,0.017496451612033777
JobInvolvement,0.0168049913341949
StockOptionLevel,0.01580544039377434
Attrition_Yes,0.01528327125442822
EducationField_Life Sciences,0.009740911745901146
OverTime_Yes,0.008352195173371569
MaritalStatus_Married,0.008085106021275443
EducationField_Medical,0.00791500568930671
Gender_Male,0.007781159915403392
BusinessTravel_Travel_Frequently,0.0069522149162616585
JobRole_Research Scientist,0.006752154215453304
JobLevel,0.0063130475336411135
MaritalStatus_Single,0.006303040224554781
JobRole_Laboratory Technician,0.005752387434788848
JobRole_Manufacturing Director,0.005735877560302712
BusinessTravel_Travel_Rarely,0.0056725891394431
EducationField_Marketing,0.004680373429467412
EducationField_Other,0.004611568449283849
EducationField_Technical Degree,0.004223834841885374
JobRole_Sales Executive,0.004206046109962461
Department_Research & Development,0.004187524551967871
Department_Sales,0.003168253649292097
JobRole_Human Resources,0.002510111710136081
PerformanceRating,0.0024871199916195316
JobRole_Research Director,0.0023314892732861805
JobRole_Sales Representative,0.0018604070173116752
JobRole_Manager,0.0017936646473636847
